
====================================
            Glide Script            
====================================

mmshare         2cb27f0eb7
glide-src       1e5ffd4733
psp-src         6c93e2fe77
macromodel-src  d47a6cf2e1
epik-src        46d635d642

--------------------------------------------------------------------------------
JobId          : tscc-13-18-0-63a4ae89
Name           : glide-dock_sp
Program        : Glide
Host           : tscc-13-18.sdsc.edu
Dir            : /oasis/tscc/scratch/cseitz/docking/mtb/no_disulfide/qcpl8/cluster1/lifechemicals/sp
HostEntry      : localhost
JobHost        : tscc-13-18.sdsc.edu
JobDir         : /oasis/tscc/scratch/cseitz/docking/mtb/no_disulfide/qcpl8/cluster1/lifechemicals/sp/cseitz/glide-dock_sp
JobSchrodinger : /home/ux453813/pkg/schrodinger2021-1
Commandline    : /home/ux453813/pkg/schrodinger2021-1/glide -WAIT glide-dock_sp.in -OVERWRITE -adjust -HOST localhost:36 -NJOBS 144 -NOLOCAL
StartTime      : 2022-12-22-11:22:54
--------------------------------------------------------------------------------

Running locally: False
Max retries: 2
Input file: glide-dock_sp.in

Setting up docking job
Separating ligands...
....................                                   20000
Number of structures that are to be docked: 20000
Setting up Glide docking jobs...

Running subjobs on hosts:
  localhost (Max: 36)
Number of jobs:       144
Max retries per job:  2
Max allowed failures: unlimited
Verbosity:            normal

Starting JobDJ...

Keep one job on driver host: False
JobDJ columns:
  C: Number of completed subjobs
  A: Number of active subjobs (e.g., submitted, running)
  W: Number of waiting/pending subjobs

  C   A   W | Activity  JobId  JobName  JobHost
--- --- --- | --------- -----------------------
  0   1 143 | launched  tscc-13-18-0-63a4aec7 glide-dock_sp-0001 localhost [tscc-13-18]
  0   2 142 | launched  tscc-13-18-0-63a4aeca glide-dock_sp-0002 localhost [tscc-13-18]
  0   3 141 | launched  tscc-13-18-0-63a4aecd glide-dock_sp-0003 localhost [tscc-13-18]
  0   4 140 | launched  tscc-13-18-0-63a4aed0 glide-dock_sp-0004 localhost [tscc-13-18]
  0   5 139 | launched  tscc-13-18-0-63a4aed3 glide-dock_sp-0005 localhost [tscc-13-18]
  0   6 138 | launched  tscc-13-18-0-63a4aed5 glide-dock_sp-0006 localhost [tscc-13-18]
  0   7 137 | launched  tscc-13-18-0-63a4aed8 glide-dock_sp-0007 localhost [tscc-13-18]
  0   8 136 | launched  tscc-13-18-0-63a4aeda glide-dock_sp-0008 localhost [tscc-13-18]
  0   9 135 | launched  tscc-13-18-0-63a4aedd glide-dock_sp-0009 localhost [tscc-13-18]
  0  10 134 | launched  tscc-13-18-0-63a4aee0 glide-dock_sp-0010 localhost [tscc-13-18]
  0  11 133 | launched  tscc-13-18-0-63a4aee3 glide-dock_sp-0011 localhost [tscc-13-18]
  0  12 132 | launched  tscc-13-18-0-63a4aee5 glide-dock_sp-0012 localhost [tscc-13-18]
  0  13 131 | launched  tscc-13-18-0-63a4aee8 glide-dock_sp-0013 localhost [tscc-13-18]
  0  14 130 | launched  tscc-13-18-0-63a4aeeb glide-dock_sp-0014 localhost [tscc-13-18]
  0  15 129 | launched  tscc-13-18-0-63a4aeee glide-dock_sp-0015 localhost [tscc-13-18]
  0  16 128 | launched  tscc-13-18-0-63a4aef1 glide-dock_sp-0016 localhost [tscc-13-18]
  0  17 127 | launched  tscc-13-18-0-63a4aef3 glide-dock_sp-0017 localhost [tscc-13-18]
  0  18 126 | launched  tscc-13-18-0-63a4aef6 glide-dock_sp-0018 localhost [tscc-13-18]
  0  19 125 | launched  tscc-13-18-0-63a4aef8 glide-dock_sp-0019 localhost [tscc-13-18]
  0  20 124 | launched  tscc-13-18-0-63a4aefb glide-dock_sp-0020 localhost [tscc-13-18]
  0  21 123 | launched  tscc-13-18-0-63a4aefd glide-dock_sp-0021 localhost [tscc-13-18]
  0  22 122 | launched  tscc-13-18-0-63a4af00 glide-dock_sp-0022 localhost [tscc-13-18]
  0  23 121 | launched  tscc-13-18-0-63a4af03 glide-dock_sp-0023 localhost [tscc-13-18]
  0  24 120 | launched  tscc-13-18-0-63a4af06 glide-dock_sp-0024 localhost [tscc-13-18]
  0  25 119 | launched  tscc-13-18-0-63a4af08 glide-dock_sp-0025 localhost [tscc-13-18]
  0  26 118 | launched  tscc-13-18-0-63a4af0a glide-dock_sp-0026 localhost [tscc-13-18]
  0  27 117 | launched  tscc-13-18-0-63a4af0c glide-dock_sp-0027 localhost [tscc-13-18]
  0  28 116 | launched  tscc-13-18-0-63a4af0f glide-dock_sp-0028 localhost [tscc-13-18]
  0  29 115 | launched  tscc-13-18-0-63a4af11 glide-dock_sp-0029 localhost [tscc-13-18]
  0  30 114 | launched  tscc-13-18-0-63a4af14 glide-dock_sp-0030 localhost [tscc-13-18]
  0  31 113 | launched  tscc-13-18-0-63a4af17 glide-dock_sp-0031 localhost [tscc-13-18]
  0  32 112 | launched  tscc-13-18-0-63a4af19 glide-dock_sp-0032 localhost [tscc-13-18]
  0  33 111 | launched  tscc-13-18-0-63a4af1c glide-dock_sp-0033 localhost [tscc-13-18]
  0  34 110 | launched  tscc-13-18-0-63a4af1e glide-dock_sp-0034 localhost [tscc-13-18]
  0  35 109 | launched  tscc-13-18-0-63a4af21 glide-dock_sp-0035 localhost [tscc-13-18]
  0  36 108 | launched  tscc-13-18-0-63a4af24 glide-dock_sp-0036 localhost [tscc-13-18]
  1  35 108 | finished  tscc-13-18-0-63a4aec7 glide-dock_sp-0001 localhost [tscc-13-18]
  1  36 107 | launched  tscc-13-18-0-63a4af92 glide-dock_sp-0037 localhost [tscc-13-18]
  2  35 107 | finished  tscc-13-18-0-63a4aeca glide-dock_sp-0002 localhost [tscc-13-18]
  3  34 107 | finished  tscc-13-18-0-63a4aed0 glide-dock_sp-0004 localhost [tscc-13-18]
  4  33 107 | finished  tscc-13-18-0-63a4aed3 glide-dock_sp-0005 localhost [tscc-13-18]
  4  34 106 | launched  tscc-13-18-0-63a4af95 glide-dock_sp-0038 localhost [tscc-13-18]
  4  35 105 | launched  tscc-13-18-0-63a4af98 glide-dock_sp-0039 localhost [tscc-13-18]
  4  36 104 | launched  tscc-13-18-0-63a4af9b glide-dock_sp-0040 localhost [tscc-13-18]
  5  35 104 | finished  tscc-13-18-0-63a4aed5 glide-dock_sp-0006 localhost [tscc-13-18]
  5  36 103 | launched  tscc-13-18-0-63a4afa0 glide-dock_sp-0041 localhost [tscc-13-18]
  6  35 103 | finished  tscc-13-18-0-63a4aecd glide-dock_sp-0003 localhost [tscc-13-18]
  6  36 102 | launched  tscc-13-18-0-63a4afa4 glide-dock_sp-0042 localhost [tscc-13-18]
  7  35 102 | finished  tscc-13-18-0-63a4aed8 glide-dock_sp-0007 localhost [tscc-13-18]
  7  36 101 | launched  tscc-13-18-0-63a4afb1 glide-dock_sp-0043 localhost [tscc-13-18]
  8  35 101 | finished  tscc-13-18-0-63a4aee3 glide-dock_sp-0011 localhost [tscc-13-18]
  8  36 100 | launched  tscc-13-18-0-63a4afb9 glide-dock_sp-0044 localhost [tscc-13-18]
  9  35 100 | finished  tscc-13-18-0-63a4aeda glide-dock_sp-0008 localhost [tscc-13-18]
  9  36  99 | launched  tscc-13-18-0-63a4afbc glide-dock_sp-0045 localhost [tscc-13-18]
 10  35  99 | finished  tscc-13-18-0-63a4aedd glide-dock_sp-0009 localhost [tscc-13-18]
 10  36  98 | launched  tscc-13-18-0-63a4afc2 glide-dock_sp-0046 localhost [tscc-13-18]
 11  35  98 | finished  tscc-13-18-0-63a4aee0 glide-dock_sp-0010 localhost [tscc-13-18]
 11  36  97 | launched  tscc-13-18-0-63a4afcb glide-dock_sp-0047 localhost [tscc-13-18]
 12  35  97 | finished  tscc-13-18-0-63a4aee8 glide-dock_sp-0013 localhost [tscc-13-18]
 13  34  97 | finished  tscc-13-18-0-63a4aeee glide-dock_sp-0015 localhost [tscc-13-18]
 13  35  96 | launched  tscc-13-18-0-63a4afcf glide-dock_sp-0048 localhost [tscc-13-18]
 13  36  95 | launched  tscc-13-18-0-63a4afd1 glide-dock_sp-0049 localhost [tscc-13-18]
 14  35  95 | finished  tscc-13-18-0-63a4aee5 glide-dock_sp-0012 localhost [tscc-13-18]
 14  36  94 | launched  tscc-13-18-0-63a4afd4 glide-dock_sp-0050 localhost [tscc-13-18]
 15  35  94 | finished  tscc-13-18-0-63a4aef6 glide-dock_sp-0018 localhost [tscc-13-18]
 15  36  93 | launched  tscc-13-18-0-63a4afd9 glide-dock_sp-0051 localhost [tscc-13-18]
 16  35  93 | finished  tscc-13-18-0-63a4aef3 glide-dock_sp-0017 localhost [tscc-13-18]
 17  34  93 | finished  tscc-13-18-0-63a4aefb glide-dock_sp-0020 localhost [tscc-13-18]
 17  35  92 | launched  tscc-13-18-0-63a4afdd glide-dock_sp-0052 localhost [tscc-13-18]
 17  36  91 | launched  tscc-13-18-0-63a4afe1 glide-dock_sp-0053 localhost [tscc-13-18]
 18  35  91 | finished  tscc-13-18-0-63a4aef1 glide-dock_sp-0016 localhost [tscc-13-18]
 18  36  90 | launched  tscc-13-18-0-63a4afe5 glide-dock_sp-0054 localhost [tscc-13-18]
 19  35  90 | finished  tscc-13-18-0-63a4aeeb glide-dock_sp-0014 localhost [tscc-13-18]
 19  36  89 | launched  tscc-13-18-0-63a4afe8 glide-dock_sp-0055 localhost [tscc-13-18]
 20  35  89 | finished  tscc-13-18-0-63a4aef8 glide-dock_sp-0019 localhost [tscc-13-18]
 20  36  88 | launched  tscc-13-18-0-63a4aff2 glide-dock_sp-0056 localhost [tscc-13-18]
 21  35  88 | finished  tscc-13-18-0-63a4af08 glide-dock_sp-0025 localhost [tscc-13-18]
 21  36  87 | launched  tscc-13-18-0-63a4aff4 glide-dock_sp-0057 localhost [tscc-13-18]
 22  35  87 | finished  tscc-13-18-0-63a4aefd glide-dock_sp-0021 localhost [tscc-13-18]
 23  34  87 | finished  tscc-13-18-0-63a4af0f glide-dock_sp-0028 localhost [tscc-13-18]
 23  35  86 | launched  tscc-13-18-0-63a4affe glide-dock_sp-0058 localhost [tscc-13-18]
 23  36  85 | launched  tscc-13-18-0-63a4b000 glide-dock_sp-0059 localhost [tscc-13-18]
 24  35  85 | finished  tscc-13-18-0-63a4af00 glide-dock_sp-0022 localhost [tscc-13-18]
 25  34  85 | finished  tscc-13-18-0-63a4af03 glide-dock_sp-0023 localhost [tscc-13-18]
 25  35  84 | launched  tscc-13-18-0-63a4b003 glide-dock_sp-0060 localhost [tscc-13-18]
 25  36  83 | launched  tscc-13-18-0-63a4b008 glide-dock_sp-0061 localhost [tscc-13-18]
 26  35  83 | finished  tscc-13-18-0-63a4af0c glide-dock_sp-0027 localhost [tscc-13-18]
 26  36  82 | launched  tscc-13-18-0-63a4b013 glide-dock_sp-0062 localhost [tscc-13-18]
 27  35  82 | finished  tscc-13-18-0-63a4af1c glide-dock_sp-0033 localhost [tscc-13-18]
 27  36  81 | launched  tscc-13-18-0-63a4b01c glide-dock_sp-0063 localhost [tscc-13-18]
 28  35  81 | finished  tscc-13-18-0-63a4af19 glide-dock_sp-0032 localhost [tscc-13-18]
 28  36  80 | launched  tscc-13-18-0-63a4b01f glide-dock_sp-0064 localhost [tscc-13-18]
 29  35  80 | finished  tscc-13-18-0-63a4af14 glide-dock_sp-0030 localhost [tscc-13-18]
 30  34  80 | finished  tscc-13-18-0-63a4af1e glide-dock_sp-0034 localhost [tscc-13-18]
 30  35  79 | launched  tscc-13-18-0-63a4b024 glide-dock_sp-0065 localhost [tscc-13-18]
 30  36  78 | launched  tscc-13-18-0-63a4b027 glide-dock_sp-0066 localhost [tscc-13-18]
 31  35  78 | finished  tscc-13-18-0-63a4af06 glide-dock_sp-0024 localhost [tscc-13-18]
 31  36  77 | launched  tscc-13-18-0-63a4b02c glide-dock_sp-0067 localhost [tscc-13-18]
 32  35  77 | finished  tscc-13-18-0-63a4af0a glide-dock_sp-0026 localhost [tscc-13-18]
 32  36  76 | launched  tscc-13-18-0-63a4b02f glide-dock_sp-0068 localhost [tscc-13-18]
 33  35  76 | finished  tscc-13-18-0-63a4af11 glide-dock_sp-0029 localhost [tscc-13-18]
 33  36  75 | launched  tscc-13-18-0-63a4b033 glide-dock_sp-0069 localhost [tscc-13-18]
 34  35  75 | finished  tscc-13-18-0-63a4af17 glide-dock_sp-0031 localhost [tscc-13-18]
 34  36  74 | launched  tscc-13-18-0-63a4b039 glide-dock_sp-0070 localhost [tscc-13-18]
 35  35  74 | finished  tscc-13-18-0-63a4af21 glide-dock_sp-0035 localhost [tscc-13-18]
 35  36  73 | launched  tscc-13-18-0-63a4b03e glide-dock_sp-0071 localhost [tscc-13-18]
 36  35  73 | finished  tscc-13-18-0-63a4af24 glide-dock_sp-0036 localhost [tscc-13-18]
 36  36  72 | launched  tscc-13-18-0-63a4b062 glide-dock_sp-0072 localhost [tscc-13-18]
 37  35  72 | finished  tscc-13-18-0-63a4af98 glide-dock_sp-0039 localhost [tscc-13-18]
 37  36  71 | launched  tscc-13-18-0-63a4b088 glide-dock_sp-0073 localhost [tscc-13-18]
 38  35  71 | finished  tscc-13-18-0-63a4af92 glide-dock_sp-0037 localhost [tscc-13-18]
 38  36  70 | launched  tscc-13-18-0-63a4b09b glide-dock_sp-0074 localhost [tscc-13-18]
 39  35  70 | finished  tscc-13-18-0-63a4af95 glide-dock_sp-0038 localhost [tscc-13-18]
 39  36  69 | launched  tscc-13-18-0-63a4b0a2 glide-dock_sp-0075 localhost [tscc-13-18]
 40  35  69 | finished  tscc-13-18-0-63a4afa0 glide-dock_sp-0041 localhost [tscc-13-18]
 40  36  68 | launched  tscc-13-18-0-63a4b0a5 glide-dock_sp-0076 localhost [tscc-13-18]
 41  35  68 | finished  tscc-13-18-0-63a4afb1 glide-dock_sp-0043 localhost [tscc-13-18]
 41  36  67 | launched  tscc-13-18-0-63a4b0c2 glide-dock_sp-0077 localhost [tscc-13-18]
 42  35  67 | finished  tscc-13-18-0-63a4afa4 glide-dock_sp-0042 localhost [tscc-13-18]
 42  36  66 | launched  tscc-13-18-0-63a4b0c6 glide-dock_sp-0078 localhost [tscc-13-18]
 43  35  66 | finished  tscc-13-18-0-63a4afbc glide-dock_sp-0045 localhost [tscc-13-18]
 43  36  65 | launched  tscc-13-18-0-63a4b0ca glide-dock_sp-0079 localhost [tscc-13-18]
 44  35  65 | finished  tscc-13-18-0-63a4afcb glide-dock_sp-0047 localhost [tscc-13-18]
