
====================================
            Glide Script            
====================================

mmshare         2cb27f0eb7
glide-src       1e5ffd4733
psp-src         6c93e2fe77
macromodel-src  d47a6cf2e1
epik-src        46d635d642

--------------------------------------------------------------------------------
JobId          : tscc-13-14-0-63112fe9
Name           : glide-dock_sp
Program        : Glide
Host           : tscc-13-14.sdsc.edu
Dir            : /oasis/tscc/scratch/cseitz/docking/mtb/disulfide/qloop/cluster4/lifechemicals/sp
HostEntry      : localhost
JobHost        : tscc-13-14.sdsc.edu
JobDir         : /oasis/tscc/scratch/cseitz/docking/mtb/disulfide/qloop/cluster4/lifechemicals/sp/cseitz/glide-dock_sp
JobSchrodinger : /home/ux453813/pkg/schrodinger2021-1
Commandline    : /home/ux453813/pkg/schrodinger2021-1/glide -WAIT glide-dock_sp.in -OVERWRITE -adjust -HOST localhost:36 -NJOBS 144 -NOLOCAL
StartTime      : 2022-09-01-15:19:30
--------------------------------------------------------------------------------

Running locally: False
Max retries: 2
Input file: glide-dock_sp.in

Setting up docking job
Separating ligands...
....................                                   20000
Number of structures that are to be docked: 20000
Setting up Glide docking jobs...

Running subjobs on hosts:
  localhost (Max: 36)
Number of jobs:       144
Max retries per job:  2
Max allowed failures: unlimited
Verbosity:            normal

Starting JobDJ...

Keep one job on driver host: False
JobDJ columns:
  C: Number of completed subjobs
  A: Number of active subjobs (e.g., submitted, running)
  W: Number of waiting/pending subjobs

  C   A   W | Activity  JobId  JobName  JobHost
--- --- --- | --------- -----------------------
  0   1 143 | launched  tscc-13-14-0-631130f0 glide-dock_sp-0001 localhost [tscc-13-14]
  0   2 142 | launched  tscc-13-14-0-631130f3 glide-dock_sp-0002 localhost [tscc-13-14]
  0   3 141 | launched  tscc-13-14-0-631130f6 glide-dock_sp-0003 localhost [tscc-13-14]
  0   4 140 | launched  tscc-13-14-0-631130f9 glide-dock_sp-0004 localhost [tscc-13-14]
  0   5 139 | launched  tscc-13-14-0-631130fc glide-dock_sp-0005 localhost [tscc-13-14]
  0   6 138 | launched  tscc-13-14-0-631130ff glide-dock_sp-0006 localhost [tscc-13-14]
  0   7 137 | launched  tscc-13-14-0-63113107 glide-dock_sp-0007 localhost [tscc-13-14]
  0   8 136 | launched  tscc-13-14-0-63113110 glide-dock_sp-0008 localhost [tscc-13-14]
  0   9 135 | launched  tscc-13-14-0-63113115 glide-dock_sp-0009 localhost [tscc-13-14]
  0  10 134 | launched  tscc-13-14-0-6311311b glide-dock_sp-0010 localhost [tscc-13-14]
  0  11 133 | launched  tscc-13-14-0-63113122 glide-dock_sp-0011 localhost [tscc-13-14]
  0  12 132 | launched  tscc-13-14-0-63113126 glide-dock_sp-0012 localhost [tscc-13-14]
  0  13 131 | launched  tscc-13-14-0-63113129 glide-dock_sp-0013 localhost [tscc-13-14]
  0  14 130 | launched  tscc-13-14-0-63113131 glide-dock_sp-0014 localhost [tscc-13-14]
  0  15 129 | launched  tscc-13-14-0-63113138 glide-dock_sp-0015 localhost [tscc-13-14]
  0  16 128 | launched  tscc-13-14-0-6311313c glide-dock_sp-0016 localhost [tscc-13-14]
  0  17 127 | launched  tscc-13-14-0-63113142 glide-dock_sp-0017 localhost [tscc-13-14]
  0  18 126 | launched  tscc-13-14-0-63113148 glide-dock_sp-0018 localhost [tscc-13-14]
  0  19 125 | launched  tscc-13-14-0-6311314d glide-dock_sp-0019 localhost [tscc-13-14]
  0  20 124 | launched  tscc-13-14-0-63113155 glide-dock_sp-0020 localhost [tscc-13-14]
  0  21 123 | launched  tscc-13-14-0-6311315c glide-dock_sp-0021 localhost [tscc-13-14]
  0  22 122 | launched  tscc-13-14-0-63113160 glide-dock_sp-0022 localhost [tscc-13-14]
  0  23 121 | launched  tscc-13-14-0-63113166 glide-dock_sp-0023 localhost [tscc-13-14]
  0  24 120 | launched  tscc-13-14-0-63113173 glide-dock_sp-0024 localhost [tscc-13-14]
  0  25 119 | launched  tscc-13-14-0-63113176 glide-dock_sp-0025 localhost [tscc-13-14]
  0  26 118 | launched  tscc-13-14-0-6311317d glide-dock_sp-0026 localhost [tscc-13-14]
  0  27 117 | launched  tscc-13-14-0-63113181 glide-dock_sp-0027 localhost [tscc-13-14]
  0  28 116 | launched  tscc-13-14-0-63113187 glide-dock_sp-0028 localhost [tscc-13-14]
  0  29 115 | launched  tscc-13-14-0-6311318b glide-dock_sp-0029 localhost [tscc-13-14]
  0  30 114 | launched  tscc-13-14-0-63113190 glide-dock_sp-0030 localhost [tscc-13-14]
  0  31 113 | launched  tscc-13-14-0-63113195 glide-dock_sp-0031 localhost [tscc-13-14]
  0  32 112 | launched  tscc-13-14-0-6311319b glide-dock_sp-0032 localhost [tscc-13-14]
  0  33 111 | launched  tscc-13-14-0-631131a8 glide-dock_sp-0033 localhost [tscc-13-14]
  0  34 110 | launched  tscc-13-14-0-631131ab glide-dock_sp-0034 localhost [tscc-13-14]
  0  35 109 | launched  tscc-13-14-0-631131b1 glide-dock_sp-0035 localhost [tscc-13-14]
  0  36 108 | launched  tscc-13-14-0-631131b7 glide-dock_sp-0036 localhost [tscc-13-14]
  1  35 108 | finished  tscc-13-14-0-631130f0 glide-dock_sp-0001 localhost [tscc-13-14]
  1  36 107 | launched  tscc-13-14-0-631133c1 glide-dock_sp-0037 localhost [tscc-13-14]
  2  35 107 | finished  tscc-13-14-0-631130f3 glide-dock_sp-0002 localhost [tscc-13-14]
  2  36 106 | launched  tscc-13-14-0-63113400 glide-dock_sp-0038 localhost [tscc-13-14]
  3  35 106 | finished  tscc-13-14-0-631130f6 glide-dock_sp-0003 localhost [tscc-13-14]
  3  36 105 | launched  tscc-13-14-0-63113441 glide-dock_sp-0039 localhost [tscc-13-14]
  4  35 105 | finished  tscc-13-14-0-631130fc glide-dock_sp-0005 localhost [tscc-13-14]
  4  36 104 | launched  tscc-13-14-0-63113460 glide-dock_sp-0040 localhost [tscc-13-14]
  5  35 104 | finished  tscc-13-14-0-631130f9 glide-dock_sp-0004 localhost [tscc-13-14]
  5  36 103 | launched  tscc-13-14-0-631134fa glide-dock_sp-0041 localhost [tscc-13-14]
  6  35 103 | finished  tscc-13-14-0-631130ff glide-dock_sp-0006 localhost [tscc-13-14]
  7  34 103 | finished  tscc-13-14-0-63113115 glide-dock_sp-0009 localhost [tscc-13-14]
  8  33 103 | finished  tscc-13-14-0-63113129 glide-dock_sp-0013 localhost [tscc-13-14]
  8  34 102 | launched  tscc-13-14-0-631136ea glide-dock_sp-0042 localhost [tscc-13-14]
  8  35 101 | launched  tscc-13-14-0-631136ed glide-dock_sp-0043 localhost [tscc-13-14]
  8  36 100 | launched  tscc-13-14-0-631136f3 glide-dock_sp-0044 localhost [tscc-13-14]
  9  35 100 | finished  tscc-13-14-0-63113107 glide-dock_sp-0007 localhost [tscc-13-14]
  9  36  99 | launched  tscc-13-14-0-631136f8 glide-dock_sp-0045 localhost [tscc-13-14]
 10  35  99 | finished  tscc-13-14-0-63113131 glide-dock_sp-0014 localhost [tscc-13-14]
 10  36  98 | launched  tscc-13-14-0-63113759 glide-dock_sp-0046 localhost [tscc-13-14]
 11  35  98 | finished  tscc-13-14-0-63113122 glide-dock_sp-0011 localhost [tscc-13-14]
 11  36  97 | launched  tscc-13-14-0-63113807 glide-dock_sp-0047 localhost [tscc-13-14]
 12  35  97 | finished  tscc-13-14-0-63113126 glide-dock_sp-0012 localhost [tscc-13-14]
 13  34  97 | finished  tscc-13-14-0-63113138 glide-dock_sp-0015 localhost [tscc-13-14]
 14  33  97 | finished  tscc-13-14-0-6311313c glide-dock_sp-0016 localhost [tscc-13-14]
 15  32  97 | finished  tscc-13-14-0-63113142 glide-dock_sp-0017 localhost [tscc-13-14]
 16  31  97 | finished  tscc-13-14-0-63113155 glide-dock_sp-0020 localhost [tscc-13-14]
 17  30  97 | finished  tscc-13-14-0-6311315c glide-dock_sp-0021 localhost [tscc-13-14]
 18  29  97 | finished  tscc-13-14-0-63113166 glide-dock_sp-0023 localhost [tscc-13-14]
 19  28  97 | finished  tscc-13-14-0-63113173 glide-dock_sp-0024 localhost [tscc-13-14]
 20  27  97 | finished  tscc-13-14-0-63113176 glide-dock_sp-0025 localhost [tscc-13-14]
 21  26  97 | finished  tscc-13-14-0-6311317d glide-dock_sp-0026 localhost [tscc-13-14]
 22  25  97 | finished  tscc-13-14-0-63113181 glide-dock_sp-0027 localhost [tscc-13-14]
